trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,1,-150.32039994269883,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 3}",1
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-94.24792202522568,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-40.089631757114304,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-98.11534589600012,"{0: 15, 1: 5, 2: 3, 3: 1, 4: 1}",0
