trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
44,False,"{'a': 0.5, 'e': 0.9990755}",25,0,-75.03761758489233,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.999032}",35,0,-149.78037279802084,"{0: 22, 1: 4, 2: 5, 3: 3, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.9989875}",20,0,-92.77848155808337,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.998942}",20,0,-122.56589186282861,"{0: 10, 1: 0, 2: 9, 3: 0, 4: 1}",0
48,False,"{'a': 0.5, 'e': 0.9988955}",25,0,-84.00973394728818,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.998848}",25,0,-30.353370082057282,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
50,False,"{'a': 0.5, 'e': 0.9987995}",20,0,-118.9023218693782,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
51,False,"{'a': 0.5, 'e': 0.99875}",20,0,-116.71023452734595,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
52,False,"{'a': 0.5, 'e': 0.9986995}",20,0,-33.047014385255814,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
53,False,"{'a': 0.5, 'e': 0.998648}",20,0,-67.12842568959135,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.9985955}",25,0,-119.6481735565055,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
55,False,"{'a': 0.5, 'e': 0.998542}",25,0,-57.25670493714956,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
56,False,"{'a': 0.5, 'e': 0.9984875}",25,0,-222.18578950550022,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 5}",0
57,False,"{'a': 0.5, 'e': 0.998432}",35,0,-181.2769081700913,"{0: 18, 1: 5, 2: 10, 3: 0, 4: 2}",0
58,False,"{'a': 0.5, 'e': 0.9983755}",20,0,-147.4054325297272,"{0: 8, 1: 2, 2: 7, 3: 2, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.998318}",25,0,-234.2114551946075,"{0: 12, 1: 5, 2: 2, 3: 2, 4: 4}",0
60,False,"{'a': 0.5, 'e': 0.9982595}",25,0,-169.51928943787973,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 3}",0
61,False,"{'a': 0.5, 'e': 0.9982}",20,0,-57.525693951016464,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0
62,False,"{'a': 0.5, 'e': 0.9981395}",20,14,10.352855434046607,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.998078}",25,0,-34.58493974296905,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
64,False,"{'a': 0.5, 'e': 0.9980155}",30,0,-178.3764268870475,"{0: 16, 1: 5, 2: 5, 3: 2, 4: 2}",0
65,False,"{'a': 0.5, 'e': 0.997952}",20,0,-131.0911269132116,"{0: 8, 1: 2, 2: 9, 3: 0, 4: 1}",0
66,False,"{'a': 0.5, 'e': 0.9978875}",30,0,-153.05218181367064,"{0: 18, 1: 5, 2: 3, 3: 2, 4: 2}",0
67,False,"{'a': 0.5, 'e': 0.997822}",30,0,-137.87475443765985,"{0: 21, 1: 2, 2: 3, 3: 2, 4: 2}",0
68,False,"{'a': 0.5, 'e': 0.9977555}",20,0,-57.25203526963644,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
69,False,"{'a': 0.5, 'e': 0.997688}",30,0,-143.18813139142927,"{0: 21, 1: 3, 2: 3, 3: 0, 4: 3}",0
70,False,"{'a': 0.5, 'e': 0.9976195}",30,0,-90.30523606676223,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
71,False,"{'a': 0.5, 'e': 0.99755}",35,0,-113.9907300346269,"{0: 26, 1: 0, 2: 7, 3: 0, 4: 2}",0
72,False,"{'a': 0.5, 'e': 0.9974795}",25,5,-47.21596190692481,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",1
73,False,"{'a': 0.5, 'e': 0.997408}",30,0,-20.41547787150322,"{0: 24, 1: 4, 2: 1, 3: 1, 4: 0}",0
74,False,"{'a': 0.5, 'e': 0.9973355}",20,0,-169.20964330580603,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
75,False,"{'a': 0.5, 'e': 0.997262}",20,0,-114.22978767194897,"{0: 8, 1: 3, 2: 7, 3: 2, 4: 0}",0
76,False,"{'a': 0.5, 'e': 0.9971875}",20,0,-42.43433034804189,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
